Boroughs,Green Space Score,Air Pollution Score,Noise Pollution Score,Difference between life expectancy at birth and at 65 for male,Difference between life expectancy at birth and at 65 for female,Average ,Male Life Expextancy at 65,Male Life Expextancy at 65,Average Life Expectancy,Health
Barking and Dagenham,0.472537123,0.275580581,0.317703149,4.50 ,2.94 ,3.72 ,17.5,20.6,19.0,5.834482759
Barnet,0.330461225,1.149975023,0.054641436,3.02 ,2.05 ,2.54 ,20.5,22.8,21.7,2.589318628
Bexley,0.507113296,2.003762608,0.064118197,3.63 ,2.71 ,3.17 ,18.7,21.8,20.2,3.465013371
Brent,0.686020522,0.893188427,0.073872292,4.29 ,2.63 ,3.46 ,20.1,22.7,21.4,2.410351861
Bromley,0.028345618,0.727955498,0.119296192,3.24 ,2.26 ,2.75 ,19.6,22.3,20.9,2.416585432
Camden,0.633857336,1.97574414,0.276487293,3.72 ,2.60 ,3.16 ,21.4,24.6,23.0,2.249256111
Croydon,0.407840137,0.430774571,0.135951183,4.18 ,2.68 ,3.43 ,19.5,21.6,20.5,4.331957194
Ealing,0.521798705,0.737166762,0.029251753,4.05 ,2.49 ,3.27 ,19.8,22.3,21.1,3.084070632
Enfield,0.251469684,1.243279092,0.132036483,3.74 ,2.54 ,3.14 ,19.4,22.3,20.9,2.609330301
Greenwich,0.457749785,0.578851047,0.135922293,4.30 ,2.91 ,3.60 ,18.8,20.9,19.8,4.415357305
Hackney,0.662420534,0.279408421,0.27412192,4.61 ,2.93 ,3.77 ,19.2,21.6,20.4,4.787086625
Hammersmith and Fulham,0.73861656,0.251761642,0.076987631,4.00 ,2.60 ,3.30 ,18.7,22.2,20.4,3.471187924
Haringey,0.620680459,0,0.394311324,3.80 ,2.81 ,3.30 ,19.6,22.8,21.2,3.388742688
Harrow,0.45440311,0.122955657,0.077500859,3.35 ,2.45 ,2.90 ,21.6,23.4,22.5,2.937455682
Havering,0,0.686797911,0.026934324,3.85 ,2.55 ,3.20 ,18.6,21.6,20.1,3.579614201
Hillingdon,0.18524389,3.398098828,0.075844809,4.00 ,2.68 ,3.34 ,19.4,21.7,20.6,3.505132612
Hounslow,0.361675464,0.760867299,0.197135496,3.87 ,2.76 ,3.32 ,18.9,21.5,20.2,3.83833592
Islington,0.861625082,0.057819723,0.598303933,4.32 ,2.93 ,3.62 ,19.0,21.2,20.1,4.188009193
Kensington and Chelsea,0.811384327,0.14880043,0.813365417,4.10 ,2.69 ,3.39 ,22.4,24.5,23.5,2.339064461
Kingston upon Thames,0.42006515,0.080573115,0.112754733,3.22 ,2.52 ,2.87 ,19.7,22.5,21.1,2.36523862
Lambeth,0.772066906,0.298605209,0.370432296,4.31 ,2.78 ,3.54 ,18.5,21.5,20.0,4.282856067
Lewisham,0.675615629,0.102732798,0.216704511,4.34 ,2.65 ,3.49 ,18.6,21.5,20.0,4.47879792
Merton,0.454141567,0.635166115,0.140108093,3.42 ,2.52 ,2.97 ,19.5,21.9,20.7,3.769410208
Newham,0.650789968,0.457504176,0.281223821,3.94 ,2.96 ,3.45 ,19.2,21.3,20.2,3.853265816
Redbridge,0.343485377,0.299774798,0.200380855,3.44 ,2.37 ,2.91 ,19.9,22.2,21.0,3.238809025
Richmond upon Thames,0.157175814,0.897510517,0.092990672,2.95 ,2.14 ,2.54 ,20.5,23.6,22.0,1.495102268
Southwark,0.631795774,0.574443815,0.287663094,4.01 ,2.59 ,3.30 ,18.3,22.2,20.3,3.340819578
Sutton,0.500624661,1.111294329,0.108862014,3.86 ,2.68 ,3.27 ,19.4,21.6,20.5,2.826849316
Tower Hamlets,0.809759586,1.464677467,0.282628515,4.06 ,2.94 ,3.50 ,18.4,21.1,19.8,3.848753704
Waltham Forest,0.512713353,0.20961528,0.379837136,4.02 ,2.75 ,3.38 ,19.6,22.3,20.9,2.743165119
Wandsworth,0.594577038,0.087127736,0.134749867,3.46 ,2.68 ,3.07 ,19.0,21.7,20.3,2.909303275
Westminster,0.694228568,0.931440407,1,3.28 ,2.19 ,2.74 ,22.2,23.7,23.0,2.54131756
City,1,3.63161301,0,,,,,,,0.889582587
